edge_id,anchor_char,derived_char,added_component,anchor_role,added_component_role,phonophore_root,recursive_depth,family_id_root,family_id_immediate,edge_structure_pattern,layout,edge_status,edge_confidence,edge_dispute_flag,source_reference,anchor_in_population,anchor_char_raw,phonophore_root_raw,added_component_raw,edge_structure_pattern_raw,anchor_char_normalized,added_component_normalized,edge_structure_pattern_normalized,normalization_applied,normalization_map_id,normalization_rule_category,normalization_confidence,normalization_notes,phonophore_root_normalized,normalization_collapse_group,normalization_collapse_flag,v3_change_type,v2_edge_id,audit_disposition,validation_source_1,validation_source_1_url,validation_source_1_claim,validation_source_2,validation_source_2_url,historical_phonology_support,modern_pronunciation_support,reviewer_notes,review_status,review_date
EDGE-00001,一,戌,戊,phonophore_and_semantic,structural_remainder_presumed_semantic,一,1,ROOT-4E00,IMM-4E00,⿵戊一,surround-from-above,eligible_direct,medium,True,CJKVI ids-analysis: 一亦聲,True,一,一,戊,⿵戊一,一,戊,⿵戊一,False,,,not_applicable,No accepted mapping applied.,一,COLLAPSE-00091,False,disputed,EDGE-00001,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 一亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-00014,成,城,土,phonophore_and_semantic,structural_remainder_presumed_semantic,丁,2,ROOT-4E01,IMM-6210,⿰土成,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 成亦聲,True,成,丁,土,⿰土成,成,土,⿰土成,False,,,not_applicable,No accepted mapping applied.,丁,COLLAPSE-03065,False,disputed,EDGE-00014,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 成亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-00067,賓,殯,歹,phonophore_and_semantic,structural_remainder_presumed_semantic,𡧍,2,ROOT-219CD,IMM-8CD3,⿰歹賓,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 賓亦聲,True,賓,賓,歹,⿰歹賓,賓,歹,⿰歹賓,False,,,not_applicable,No accepted mapping applied.,𡧍,COLLAPSE-05438,False,disputed,EDGE-00067,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 賓亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-00079,丑,羞,羊,phonophore_and_semantic,structural_remainder_presumed_semantic,丑,1,ROOT-4E11,IMM-4E11,⿰羊丑,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 丑亦聲,True,丑,丑,羊,⿰羊丑,丑,羊,⿰羊丑,False,,,not_applicable,No accepted mapping applied.,丑,COLLAPSE-00128,False,disputed,EDGE-00079,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 丑亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-00128,平,坪,土,phonophore_and_semantic,structural_remainder_presumed_semantic,平,1,ROOT-5E73,IMM-5E73,⿰土平,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 平亦聲,True,平,平,土,⿰土平,平,土,⿰土平,False,,,not_applicable,No accepted mapping applied.,平,COLLAPSE-02770,False,disputed,EDGE-00128,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 平亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-00131,平,枰,木,phonophore_and_semantic,structural_remainder_presumed_semantic,平,1,ROOT-5E73,IMM-5E73,⿰木平,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 平亦聲,True,平,平,木,⿰木平,平,木,⿰木平,False,,,not_applicable,No accepted mapping applied.,平,COLLAPSE-02773,False,disputed,EDGE-00131,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 平亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-00148,丩,朻,木,phonophore_and_semantic,structural_remainder_presumed_semantic,丩,1,ROOT-4E29,IMM-4E29,⿰木丩,left-right,missing_anchor_from_frozen_population,medium,True,CJKVI ids-analysis: 丩亦聲,False,丩,丩,木,⿰木丩,丩,木,⿰木丩,False,,,not_applicable,No accepted mapping applied.,丩,COLLAPSE-00183,False,disputed,EDGE-00148,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 丩亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-00149,丩,糾,糸,phonophore_and_semantic,structural_remainder_presumed_semantic,丩,1,ROOT-4E29,IMM-4E29,⿰糸丩,left-right,missing_anchor_from_frozen_population,medium,True,CJKVI ids-analysis: 丩亦聲,False,丩,丩,糸,⿰糸丩,丩,糸,⿰糸丩,False,,,not_applicable,No accepted mapping applied.,丩,COLLAPSE-00184,False,disputed,EDGE-00149,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 丩亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-00153,中,仲,亻,phonophore_and_semantic,structural_remainder_presumed_semantic,中,1,ROOT-4E2D,IMM-4E2D,⿰亻中,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 中亦聲,True,中,中,亻,⿰亻中,中,亻,⿰亻中,False,,,not_applicable,No accepted mapping applied.,中,COLLAPSE-00188,False,disputed,EDGE-00153,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 中亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-00195,丶,主,王,phonophore_and_semantic,structural_remainder_presumed_semantic,丶,1,ROOT-4E36,IMM-4E36,⿱丶王,top-bottom,missing_anchor_from_frozen_population,medium,True,CJKVI ids-analysis: 丶亦聲,False,丶,丶,王,⿱丶王,丶,王,⿱丶王,False,,,not_applicable,No accepted mapping applied.,丶,COLLAPSE-00198,False,disputed,EDGE-00195,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 丶亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-00214,𠔾,冬,仌,phonophore_and_semantic,structural_remainder_presumed_semantic,𠔾,1,ROOT-2053E,IMM-2053E,⿵𠔾仌,surround-from-above,missing_anchor_from_frozen_population,medium,True,CJKVI ids-analysis: 𠔾亦聲,False,𠔾,𠔾,仌,⿵𠔾仌,𠔾,仌,⿵𠔾仌,False,,,not_applicable,No accepted mapping applied.,𠔾,COLLAPSE-06074,False,disputed,EDGE-00214,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 𠔾亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-00234,延,挻,扌,phonophore_and_semantic,structural_remainder_presumed_semantic,丿,2,ROOT-4E3F,IMM-5EF6,⿰扌延,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 延亦聲,True,延,延,扌,⿰扌延,延,扌,⿰扌延,False,,,not_applicable,No accepted mapping applied.,丿,COLLAPSE-02841,False,disputed,EDGE-00234,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 延亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-00536,含,琀,王,phonophore_and_semantic,structural_remainder_presumed_semantic,今,2,ROOT-4ECA,IMM-542B,⿰王含,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 含亦聲,True,含,今,王,⿰王含,含,王,⿰王含,False,,,not_applicable,No accepted mapping applied.,今,COLLAPSE-01592,False,disputed,EDGE-00536,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 含亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-00763,先,詵,言,phonophore_and_semantic,structural_remainder_presumed_semantic,先,1,ROOT-5148,IMM-5148,⿰言先,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 先亦聲,True,先,先,言,⿰言先,先,言,⿰言先,False,,,not_applicable,No accepted mapping applied.,先,COLLAPSE-00635,False,disputed,EDGE-00763,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 先亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-00801,內,汭,氵,phonophore_and_semantic,structural_remainder_presumed_semantic,入,2,ROOT-5165,IMM-5167,⿰氵內,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 內亦聲,True,內,入,氵,⿰氵內,內,氵,⿰氵內,False,,,not_applicable,No accepted mapping applied.,入,COLLAPSE-00691,False,disputed,EDGE-00801,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 內亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-00885,八,匹,匸,phonophore_and_semantic,structural_remainder_presumed_semantic,八,1,ROOT-516B,IMM-516B,⿷匸八,surround-from-left,eligible_direct,medium,True,CJKVI ids-analysis: 八亦聲,True,八,八,匸,⿷匸八,八,匸,⿷匸八,False,,,not_applicable,No accepted mapping applied.,八,COLLAPSE-00731,False,disputed,EDGE-00885,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 八亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-00889,穴,泬,氵,phonophore_and_semantic,structural_remainder_presumed_semantic,八,2,ROOT-516B,IMM-7A74,⿰氵穴,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 穴亦聲,True,穴,八,氵,⿰氵穴,穴,氵,⿰氵穴,False,,,not_applicable,No accepted mapping applied.,八,COLLAPSE-04651,False,disputed,EDGE-00889,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 穴亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-00923,圥,鼀,𪓑,phonophore_and_semantic,structural_remainder_presumed_semantic,圥,1,ROOT-5725,IMM-5725,⿱圥𪓑,top-bottom,missing_anchor_from_frozen_population,medium,True,CJKVI ids-analysis: 圥亦聲,False,圥,圥,𪓑,⿱圥𪓑,圥,𪓑,⿱圥𪓑,False,,,not_applicable,No accepted mapping applied.,圥,COLLAPSE-01841,False,disputed,EDGE-00923,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 圥亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
